date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/2/2021,South Korea,651,20,63244,962,6372,154,13579,288
1/3/2021,South Korea,1020,19,64264,981,6584,162,13673,283
1/4/2021,South Korea,715,26,64979,1007,6254,148,13519,285
1/5/2021,South Korea,839,20,65818,1027,6045,148,13268,288
1/6/2021,South Korea,868,19,66686,1046,5946,146,13153,290
1/7/2021,South Korea,672,35,67358,1081,5589,164,12588,308
1/8/2021,South Korea,641,19,67999,1100,5406,158,12097,307
1/9/2021,South Korea,665,25,68664,1125,5420,163,11792,317
1/10/2021,South Korea,450,15,69114,1140,4850,159,11434,321
1/11/2021,South Korea,537,25,69651,1165,4672,158,10926,306
1/12/2021,South Korea,561,20,70212,1185,4394,158,10439,306
1/13/2021,South Korea,516,10,70728,1195,4042,149,9988,295
1/14/2021,South Korea,513,22,71241,1217,3883,136,9472,300
1/15/2021,South Korea,579,19,71820,1236,3821,136,9227,294
1/16/2021,South Korea,520,13,72340,1249,3676,124,9096,287
1/17/2021,South Korea,389,15,72729,1264,3615,124,8465,283
1/18/2021,South Korea,386,19,73115,1283,3464,118,8136,276
1/19/2021,South Korea,403,17,73518,1300,3306,115,7700,273
1/20/2021,South Korea,400,16,73918,1316,3190,121,7232,270
1/21/2021,South Korea,344,12,74262,1328,3021,111,6904,247
1/22/2021,South Korea,430,9,74692,1337,2872,101,6693,237
1/23/2021,South Korea,392,12,75084,1349,2744,100,6420,224
1/24/2021,South Korea,437,11,75521,1360,2792,96,6407,220
1/25/2021,South Korea,354,11,75875,1371,2760,88,6224,206
1/26/2021,South Korea,554,7,76429,1378,2911,78,6217,193
1/27/2021,South Korea,497,8,76926,1386,3008,70,6198,191
1/28/2021,South Korea,469,13,77395,1399,3133,71,6154,182
1/29/2021,South Korea,455,15,77850,1414,3158,77,6030,178
1/30/2021,South Korea,355,6,78205,1420,3121,71,5865,171
1/31/2021,South Korea,303,5,78508,1425,2987,65,5779,161
2/1/2021,South Korea,336,10,78844,1435,2969,64,5729,152
2/2/2021,South Korea,467,6,79311,1441,2882,63,5793,141
2/3/2021,South Korea,451,7,79762,1448,2836,62,5844,132
2/4/2021,South Korea,369,11,80131,1459,2736,60,5869,131
2/5/2021,South Korea,393,5,80524,1464,2674,50,5832,127
2/6/2021,South Korea,372,7,80896,1471,2691,51,5812,122
2/7/2021,South Korea,289,3,81185,1474,2677,49,5664,114
2/8/2021,South Korea,302,8,81487,1482,2643,47,5612,111
2/9/2021,South Korea,443,4,81930,1486,2619,45,5501,108
2/10/2021,South Korea,504,10,82434,1496,2672,48,5508,110
2/11/2021,South Korea,403,11,82837,1507,2706,48,5442,108
2/12/2021,South Korea,362,7,83199,1514,2675,50,5349,100
2/13/2021,South Korea,326,8,83525,1522,2629,51,5320,102
2/14/2021,South Korea,344,5,83869,1527,2684,53,5361,102
2/15/2021,South Korea,456,7,84325,1534,2838,52,5481,99
2/16/2021,South Korea,621,4,84946,1538,3016,52,5635,97
2/17/2021,South Korea,621,6,85567,1544,3133,48,5805,96
2/18/2021,South Korea,561,6,86128,1550,3291,43,5997,91
2/19/2021,South Korea,446,3,86574,1553,3375,39,6050,89
2/20/2021,South Korea,418,4,86992,1557,3467,35,6096,86
2/21/2021,South Korea,332,5,87324,1562,3455,35,6139,88
2/22/2021,South Korea,357,11,87681,1573,3356,39,6194,91
2/23/2021,South Korea,439,3,88120,1576,3174,38,6190,90
2/24/2021,South Korea,396,5,88516,1581,2949,37,6082,85
2/25/2021,South Korea,406,4,88922,1585,2794,35,6085,78
2/26/2021,South Korea,399,10,89321,1595,2747,42,6122,81
2/27/2021,South Korea,355,8,89676,1603,2684,46,6151,81
2/28/2021,South Korea,355,2,90031,1605,2707,43,6162,78
3/1/2021,South Korea,341,1,90372,1606,2691,33,6047,72
3/2/2021,South Korea,444,6,90816,1612,2696,36,5870,74
3/3/2021,South Korea,424,7,91240,1619,2724,38,5673,75
3/4/2021,South Korea,398,8,91638,1627,2716,42,5510,77
3/5/2021,South Korea,417,5,92055,1632,2734,37,5481,79
3/6/2021,South Korea,416,2,92471,1634,2795,31,5479,77
3/7/2021,South Korea,346,8,92817,1642,2786,37,5493,80
3/8/2021,South Korea,446,3,93263,1645,2891,39,5582,72
3/9/2021,South Korea,470,3,93733,1648,2917,36,5613,72
3/10/2021,South Korea,465,4,94198,1652,2958,33,5682,71
